Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
85361,50000,38.6,5984,5725,0,0,884,0,0,19
85362,26250,64.8,562,555,7,0,32,0,0,0
85364,38686,31,72980,48060,2065,1390,48005,189,548,18284
85365,50979,34.1,49624,36269,1199,646,21215,145,466,9051
85367,52200,62.7,20559,18671,60,217,2817,0,288,1027
85373,50266,66,18770,17192,640,517,763,8,18,71
85374,48143,53,46507,42737,1565,333,8445,16,309,1046
85375,46622,73.7,27545,26470,187,378,644,0,18,62
85377,85436,62.6,3048,3046,0,0,111,0,0,2
85379,71066,32,42544,35686,2994,824,8454,85,410,1127
85381,70980,42.7,26100,22373,820,959,3198,55,146,493
85382,63135,42.1,40792,36334,1107,1400,5027,27,399,303
85383,102047,37.3,39552,35412,625,2143,3905,0,149,195
85387,61078,60.4,10665,9809,675,87,1443,0,23,25
85388,67900,32.4,24065,19623,1350,785,4298,15,62,1169
85390,40081,56.2,8959,8695,94,2,1237,0,71,21
85392,66947,31.8,37172,27043,4628,1741,14005,48,384,2091
85395,76453,43.4,25000,20130,1396,1586,4418,3,460,323
85396,76314,38.9,13506,11632,599,391,3084,23,61,499
85501,40400,43.5,13366,11290,228,129,4564,0,711,620
85541,40690,54.8,21784,20748,31,35,1711,8,399,332
85544,49805,65,1604,1545,0,12,20,0,47,0
85546,47681,35,20027,17486,530,131,7609,20,403,1022
85552,52533,27.5,6278,5496,147,35,1799,38,101,366
85602,40496,54.5,8912,8158,18,19,1443,0,114,270
85603,33726,49.8,6946,5855,75,48,2815,0,79,687
85607,26684,32.1,17229,12005,249,303,14444,0,148,4048
85610,45461,50.7,1063,800,59,11,219,0,16,135
85611,39519,57.1,1030,940,0,0,115,0,0,55
85614,48300,68.5,22245,21415,174,151,2799,0,113,208
85615,54780,49,9481,8678,79,35,1591,0,106,49
85616,41477,42,5403,4362,272,27,1125,4,82,332
85619,,11.4,141,141,0,0,0,0,0,0
85621,27952,33.5,22971,17120,62,130,21070,10,58,5460
85622,55842,71.4,6659,6609,0,0,84,0,22,11
85623,55082,51.3,4843,4501,0,0,1966,0,22,247
85624,39038,59.2,1306,1176,0,8,401,0,9,107
85625,36276,65.9,1602,1371,17,8,107,0,51,39
85629,62939,32.6,24359,20395,907,1178,8142,32,61,908
85630,44286,32.9,2650,2610,0,13,272,0,0,0
85631,42952,31.9,3970,3705,2,0,2082,0,0,131
85632,36417,59.6,887,744,1,4,204,0,23,82
85635,54022,36.2,35850,26556,2179,1477,9114,55,588,1822
85637,70129,55.5,1286,1263,6,9,170,0,6,0
85638,32500,52.3,2146,1826,0,3,618,0,12,86
85641,83824,35.9,23193,20485,1055,372,4337,4,81,306
85643,42998,43.1,8934,7163,100,19,4718,0,97,1111
85646,50606,63,1476,1415,0,0,297,0,23,29
85648,50680,32.3,18884,13928,154,249,16617,0,18,4104
85650,77730,48.2,14324,12183,696,189,2564,131,0,577
85653,57143,38.8,13827,11840,220,136,3432,0,421,810
85658,84788,52.3,9829,8898,199,63,1197,0,33,293
85701,36211,35.8,5047,3855,176,292,2008,0,168,448
85704,52214,48.7,30417,26389,357,1358,5574,15,342,1148
85705,24489,34.5,54795,40590,1943,2452,24060,164,2610,5492
85706,30000,27.5,56962,37573,1563,468,46969,44,1928,13954
85710,42049,42.7,55808,44709,2459,1583,13314,206,624,4101
85711,32815,35.9,40315,29019,2086,1098,15530,38,790,5197
85712,32109,37.8,33758,27385,2224,1188,7950,186,428,1324
85713,33301,34.9,48865,33597,2518,214,33259,23,2786,7846
85715,55694,45,18884,16901,396,281,3906,0,148,551
85716,33313,34.6,32716,26059,1763,1082,8537,141,821,1329
85718,79155,51.4,27010,22743,775,1849,3348,5,245,579
85719,29100,23.5,44140,35571,1258,2832,10920,41,603,1570
85730,46558,37.4,39494,30479,3309,997,9938,24,605,2575
85735,47333,39.7,11723,9445,265,88,4721,0,194,1152
85737,80789,48.3,21872,19353,140,945,2309,27,114,551
85739,60681,62.3,17224,16014,69,37,2208,13,58,773
85741,51410,34.6,35014,29761,691,877,9203,41,244,2130
85742,68209,39.1,25669,21589,622,507,6080,0,256,1241
85743,69139,40.7,29164,24535,980,1308,5677,0,160,1299
85745,47432,36.4,38575,28541,1443,1021,20656,53,1389,4802
85746,41419,32.1,42715,31307,772,216,29835,9,3181,5935
85747,84230,34.9,23952,20305,981,695,5460,20,51,1051
85748,65035,45.5,17603,14648,949,562,2772,0,47,552
85749,85861,51.1,18890,16960,223,504,2147,71,253,314
85750,73029,53.3,23615,21138,398,1084,2163,0,178,305
85755,83326,55.5,15529,14022,261,356,1911,13,88,601
85756,45684,32.1,37253,26830,2581,350,22727,136,1083,4736
85757,53300,29.1,18545,10319,596,182,11105,23,3878,2640
85901,40393,46.1,16856,15650,37,104,1875,0,556,127
85920,41827,62.6,390,381,6,0,0,0,3,0
85925,52333,31.3,4894,4410,21,0,878,0,345,49
85928,26159,51.4,1164,875,0,0,395,0,0,235
85929,43220,46.1,7720,7058,41,83,1394,0,0,307
85935,62811,49.4,5216,4420,19,29,316,0,462,0
