Zip Code,Median Income,Median Age,Total Population,White Percent,Black Percent,Asian Percent,Hispanic Percent,Pacific Percent,Native Percent,Other Percent,ZipName,State,Lat,Long,County
16830,40429,43.2,13958,0.9756412093423127,0.00487175813153747,0.008382289726321823,0.013039117352056168,0.0,0.0013612265367531164,0.0009313655251468692,Clearfield,PA,41.02,-78.43,Lawrence Township
16833,38750,47.1,5390,0.9922077922077922,0.00018552875695732838,0.0,0.00909090909090909,0.0,0.0,0.006493506493506494,Curwensville,PA,40.97,-78.51,Clearfield County
16866,42896,44.2,10091,0.9198295510851253,0.03577445248241007,0.011098999108116143,0.08700822515112476,0.0014864730948369834,0.0013873748885145178,0.008126052918442176,Philipsburg,PA,40.89,-78.21,Centre County
16870,85927,39.6,6621,0.9679806675728742,0.002718622564567286,0.014650354931279263,0.006041383476816191,0.0,0.00045310376076121433,0.0,Port Matilda,PA,40.79,-78.05,Centre County
16901,47085,46.9,10423,0.9645975247049794,0.006140266717835556,0.009498225079151875,0.017845150148709583,0.0,0.001535066679458889,0.0010553583421279863,Wellsboro,PA,41.74,-77.3,Tioga County
16912,48913,37.1,1877,0.9525839104954715,0.0037293553542887587,0.007458710708577517,0.002131060202450719,0.0,0.0,0.002131060202450719,Blossburg,PA,41.68,-77.06,Tioga County
16915,46830,44.8,5816,0.9654401650618982,0.008081155433287484,0.00842503438789546,0.011519944979367263,0.0,0.001891334250343879,0.002922971114167813,Coudersport,PA,41.77,-78.01,Eulalia Township
16922,38819,47.8,1976,0.9873481781376519,0.00354251012145749,0.0,0.0005060728744939271,0.0,0.004048582995951417,0.0,Galeton,PA,41.73,-77.64,Potter County
16925,48482,43.6,3272,0.9853300733496333,0.0003056234718826406,0.003973105134474328,0.010085574572127139,0.0,0.001528117359413203,0.0,Gillett,PA,41.95,-76.79,South Creek Township
16929,44828,46.8,2244,0.9786096256684492,0.004901960784313725,0.0,0.004010695187165776,0.0022281639928698753,0.0,0.0,Lawrenceville,PA,41.99,-77.12,Lawrenceville
16933,46321,33.0,7534,0.9682771436156092,0.013671356517122379,0.007034775683567826,0.020838863817361296,0.0,0.0014600477833820015,0.0005309264666843643,Mansfield,PA,41.8,-77.07,Richmond Township
16946,43142,44.0,2290,0.9842794759825327,0.0013100436681222707,0.00480349344978166,0.00611353711790393,0.0,0.0,0.0,Tioga,PA,41.9,-77.13,Tioga Township
16947,50570,45.5,5439,0.9641478212906784,0.01654715940430226,0.006251149108291966,0.009744438315866888,0.0,0.001654715940430226,0.00036771465342893915,Troy,PA,41.78,-76.78,Bradford County
16950,39261,46.1,3517,0.9792436735854422,0.0014216661927779358,0.0017059994313335229,0.014216661927779357,0.0,0.008245663918112028,0.0,Westfield,PA,41.91,-77.54,Tioga County
17003,57627,38.3,11738,0.9435167830976317,0.017379451354574884,0.019850059635372296,0.016357130686658717,0.0,0.0008519338899301414,0.005793150451524962,Annville,PA,40.33,-76.5,Annville
17007,81673,43.3,5437,0.9687327570351296,0.0,0.0062534485929740665,0.014713996689350745,0.0,0.0034945742137208018,0.005149898841272761,Boiling Springs,PA,40.15,-77.13,South Middleton Township
17011,62842,41.6,35165,0.8303142329020333,0.07242997298450163,0.04973695435802645,0.04089293331437509,8.531210009953078e-05,0.0012228067680932746,0.015014929617517417,Camp Hill,PA,40.24,-76.92,Cumberland County
17013,53797,38.8,35010,0.8786918023421879,0.05709797200799772,0.027277920594115965,0.03147672093687518,0.0,0.00022850614110254212,0.009597257926306769,Carlisle,PA,40.2,-77.2,Cumberland County
17015,73650,44.1,21186,0.9316057774001699,0.0047200981780421035,0.024355706598697253,0.03063343717549325,0.0,0.0023128481072406306,0.004625696214481261,Carlisle,PA,40.15,-77.26,Cumberland County
